Facultad,Instituto,Proyecto
CIENCIAS,Esc. de Biología,"Análisis de la influencia del paisaje en la estructura de las comunidades de aves acuáticas en humedales de la República Dominicana, usando el enfoque de metacomunidades"
CIENCIAS,Instituto de Química,"Aprovechamiento de los pepinos de mar Holothuria mexicana, badionotus y multipidus, existentes en mares de de República Dominicana y la microbiota asociada mediante tecnología de secuenciación de alto rendimiento, para diseñar estrategias de manejo ecológico, conservación y aprovechamiento biotecnológico sustentable de los recursos genéticos, costeros y marinos."
CIENCIAS,Instituto de Química,Uso Sostenible de la Microbiota Asociada a Esponjas Marinas para la Innovación Biotecnológica y el Monitoreo de la Salud de Ecosistemas Marinos
CIENCIAS,Instituto de Química,Estudio fitoquímico de la especie Dendropanax arboreus con atención a su actividad antiinflamatoria
CIENCIAS,Instituto de Microbiología y Parasitología,Determinación de la resistencia a insecticidas y sus mecanismos en vectores trasmisores de arbovirosis en República Dominicana
CIENCIAS,Centro de Investigaciones de Biología Marina,Restauración y actualización de la Colección de Moluscos Marinos del  CIBIMA
CIENCIAS,Centro de Investigaciones de Biología Marina,"Dinámica Geomorfológica, Sedimentaria y el Impacto del Cambio Climático sobre las Playas del Tramo Costero de Cabo Rojo, Bahía de las Águilas y Trudillé, Provincia Pedernales, R. D., Durante 2023-2025"
CIENCIAS,Centro de Investigaciones de Biología Marina,"Prevalencia de enfermedades en los arrecifes de coral en las localidades Caobita, Azua y San Andrés, Boca Chica."
CIENCIAS,Centro de Investigaciones de Biología Marina,Pesquerías asociadas a dispositivos o balsas de Sargazo para agregaciones de Peces (DSAP).
CIENCIAS,Instituto Geográfico Universitario,Alianza y mejora de capacidades interuniversitarias para la sostenibilidad del litoral caribe; +Caribe. 
CIENCIAS,Instituto Geográfico Universitario,Modelación de los servicios ecosistémicos del socioecosistema Laguna de Cabral o Rincón y directrices para un aprovechamiento sostenible del recurso agua utilizando técnicas de IA y modelación computacional.
CIENCIAS,Instituto Geográfico Universitario,Análisis comparativo de modelos de amenaza de incendios forestales en la República Dominicana por regresión logística basada en variables meteorológicas medidas in situ y estimadas por teledetección en el periodo 2000-2024
CIENCIAS ECONÓMICAS Y SOCIALES,Instituto de Investigaciones Socioeconómicas,Estudio del proceso de mercadeo de productos agrícolas para el diseño de canales alternativos de distribución
CIENCIAS ECONÓMICAS Y SOCIALES,Instituto de Investigaciones Socioeconómicas,"Divergencias en las Teorías del Valor, del Precio y del Dinero en el Pensamiento Económico"
CIENCIAS JURÍDICAS Y POLÍTICAS,Instituto de Investigaciones Jurídicas y Políticas ,Elecciones Primarias Presidenciales 2019 y Democratización de los Partidos Políticos en la República Dominicana 
INGENIERÍA Y ARQUITECTURA,Instituto de Energía,Estudio numérico y experimental del CO2 como refrigerante y su potencial en la República Dominicana.
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Bioconversión de gas de síntesis para la producción biotecnológica de alcoholes de orden superior a partir de Procesos fermentativos
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Metodos biotecnologicos y fisico-quimicos avanzados para el procesamiento de aguas residuales industriales con contaminantes emergentes (antibioticos betalactamicos)
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Impacto por eutrofización del sistema anaeróbico de depuración de aguas residuales del Recinto UASD -Santiago.
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Rediseño de un reactor anaeróbico de flujo  ascendente recinto Santiago
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Estimacion de la vulnerabilidad de la estructura de edificios de muros delgados de concreto ante un sismo
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Factores de emisión de dióxido de carbono y metano en sistemas anaeróbicos de tratamiento de aguas residuales y en vertederos de República Dominicana
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Modelos de aprendizaje automático para la predicción de caudales permanentes (Q90) en zonas con datos limitados
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Inteligencia artificial al servicio de la agricultura: detección espectral temprana y manejo efectivo de enfermedades foliares en arroz y musáceas utilizando redes neuronales convolucionales (CNN)
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Análisis integral del balance hídrico para la gestión sostenible de recursos en la cuenca del Yaque del Sur
INGENIERÍA Y ARQUITECTURA,Instituto de Investigaciones Aplicadas a las Ingenierías,Evaluación de la amenaza sísmica y vulnerabilidad física y social en el valle del Cibao: avances para reducir los riesgos naturales y aumentar la resiliencia de la población en la República Dominicana
INGENIERÍA Y ARQUITECTURA,Instituto de Urbanismo,La arquitectura como elemento transformador del entorno urbano. Caso Faro a Colón de Santo Domingo Este.
INGENIERÍA Y ARQUITECTURA,Instituto de Urbanismo,"Plan estratégico de desarrollo para el Distrito Municipal de Caleta, provincia La Romana. Cómo lo urbano, social y económico se escrutan para alcanzar un desarrollo sostenible del turismo."
INGENIERÍA Y ARQUITECTURA,Instituto de Urbanismo,Circulación vehicular y estudio ambiental del aire y ruido en la zona colonial de Santo Domingo.
INGENIERÍA Y ARQUITECTURA,"Instituto de Transporte,Tránsito y Movilidad ",Evaluación del comportamiento de los peatones ante factores de riesgo de seguridad vial usando realidad virtual
CIENCIAS DE LA SALUD,Instituto de Investigaciones en Salud,Nivel de Hormonas Corticotrópicas en Pelo como Marcadores Noveles de Estrés Psicosocial Crónico y Factores de Riesgo Para el Desarrollo de Disfunción Inmune y Síndrome Metabólico
CIENCIAS DE LA SALUD,Instituto de Investigaciones en Salud,Prospección y aislamiento de compuestos antioxidantes con actividad antineoplásica de dos especies endémicas rubiaceae (PACAR)
CIENCIAS DE LA SALUD,Instituto de Investigaciones en Salud,"SARS CoV-2 en aguas residuales: una aproximación metagenómica y epidemiológica para analizar perfiles de distribución y abundancia del virus en aguas urbanas, y evaluar riesgos de dispersión ambiental en República Dominicana"
CIENCIAS DE LA SALUD,Instituto de Investigaciones en Salud,"Caracterización molecular de los Errores Innatos Del Metabolismo detectados en pacientes menores de 1 año de edad, en condiciones críticas de salud y hospitalizaciones recurrentes, en el Hospital Infantil Dr. Robert Reid Cabral y el Hospital Dr. Arturo Grullón de la República Dominicana"
Ciencias de la Salud,Instituto de Investigaciones en Salud,"Síndrome metabólico en personas viviendo con VIH en las clínicas de servicios de atención integral de La Vega y Valverde Mao, 2018-2019"
Ciencias de la Salud,Instituto de Investigaciones en Salud,Optimización de estrategias de Micorremediación para el tratamiento de biosólidos municipales: diseño racional de biofertilizantes y transferencia tecnológica a pequeños productores agrícolas
Ciencias de la Salud,Instituto de Investigaciones en Salud,"Biosíntesis y caracterización de fitonanopartículas de cobre y plata utilizando extractos de las plantas Vaccinium ekmanii Berazaín (Ericaceae) y Jacquinia berteroi Spreng (Theophrastaceae) en busca de potenciar y optimizar su efecto Antimicrobial y su actividad antitumoral en líneas celulares de cáncer humano (Nanopartículas, A/A)"
Ciencias de la Salud,Instituto de Investigaciones en Salud,"Caracterizacion de estructura(s) química(s) de metabolitos y perfil transcripcional de genes y/o clusters de genes biosintéticos, involucrados en la síntesis de moleculas con actividad antitumoral, antiincrustante y antimicrobiana en las cianobacterias Hapalosiphon sp. y scilatoria sp."
Ciencias de la Salud,Instituto de Investigaciones en Salud,Actividad anti-proliferativa de extractos parcialmente purificados obtenidos de las especies endémicas L. quisqueyana y L. marcanoi sobre líneas celulares tumorales humanas y sus posibles mecanismos de acción. (QUIMAR)
Ciencias de la Salud,Instituto de Investigaciones en Salud,Desarrollo del potencial del cultivo de microalgas en República Dominicana para obtener biomasa de un elevado aporte nutricional para la alimentación humana y animal
Ciencias de la Salud,Instituto de Investigaciones en Salud,Evidencia imagenológica de sufrimiento trigeminal como guía para la decisión terapéutica a propósito de 40 casos de Neuralgia Trigeminal Refractaria
Ciencias de la Salud,Instituto de Investigaciones en Salud,"Identificar el riesgo nutricional en la gestante y su impacto en el lactante mediante técnicas de composición corporal en la Maternidad San Lorenzo de Los Mina, del 2023 al 2025"
Ciencias de la Salud,Instituto de Investigaciones en Salud,"Inteligencia artificial y sistemas de alerta temprana, basados en eco-epidemiología para mejorar la respuesta de salud pública ante virus transmitidos por Aedes en la República Dominicana"
Ciencias de la Salud,Instituto de Investigaciones en Salud,"ProMeSA (Proyecto para Mejorar la Seguridad Alimentaria) Huertos urbanos y consejería nutricional para mejorar la atención y la inseguridad alimentaria en las personas que viven con VIH en la República Dominicana, 2023 al 2028"
Ciencias de la Salud,Instituto de Investigaciones en Salud,Investigación de principios activos de especies nativas de la flora medicinal dominicana para desarrollar bioproductos con propiedades y aplicaciones dermacéuticas –BIOPROD.
Ciencias de la Salud,Instituto de Investigaciones en Salud,Aislamiento y caracterización de los componentes fitoquímicos responsables de las propiedades antimicrobianas y citotóxicas de las plantas Hyptis chilanta y Lippia domingensis (ACMACI)
Ciencias de la Salud,Instituto de Investigaciones en Salud,Aislamiento de Compuestos fitoquímicos bioactivos como moduladores del estrés oxidativo en la diabetes: del cribado in vitro a los ensayos en modelos animales
Ciencias de la Salud,Instituto de Investigaciones en Salud,Utilización de Extractos Antioxidantes de Cáscara de Mango en el Desarrollo de Envases Biopoliméricos para Alimentos
Ciencias de la Salud,Instituto de Investigaciones en Salud,Hongos Extremófilos Dominicanos: Aplicaciones Biotecnológicas y Fisiología Celular (MYCODEX)
Ciencias de la Salud,Instituto de Investigaciones en Salud,Desigualdades en la tendencia de los perfiles de mortalidad por grupos sociales. República Dominicana
Ciencias de la Salud,Instituto de Investigaciones en Salud,Factores de riesgo relacionados con la parálisis cerebral infantil
Ciencias de la Salud,Instituto de Investigaciones en Salud,"Evaluación de Comprensión Lectora como Factor Determinante en Competencia Clínica y Calidad de Atención Sanitaria en Estudiantes de Ciencias de la Salud, UASD, SEDE. Septiembre 2024- marzo 2026"
Centro UASD  Mao / CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Caracterización tecnológica de la producción actual de Pitahaya (Hylocereus undatus Britt el Rose)
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,"Aislamiento, identificación, caracterización de bacterias probióticas nativas (Lactobacillus y Bifidobacterium) aisladas del tracto estomacal humano"
Centro UASD  Mao / CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Sostenibilidad Financiera y Física del Servicio Tarifario en el Sistema de Riego Mao – Gurabo
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,"Secuestro de carbono en suelos de bosques cacaotaleros del municipio Los Hidalgos, provincia Puerto Plata: un componente que mitiga el cambio climático."
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Estudios bioecológicos comparativos de Orius Insidiousus Vs Orius Laevigatus
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Aislamiento y caracterización molecular de nematodos entomopatógenos como alternativa de Control Biológico de insectos de Suelos en cultivos tropicales
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Situación sanitaria de las granjas de producción acuícola en República Dominicana y su impacto económico
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Desarrollo de tecnología para escalamiento de la producción masiva de insectos benéficos y desarrollo de estrategias en uso en campo e invernadero.
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,"Diagnóstico y efecto de la utilización del control biológico y biopreparados sobre las plagas insectiles de importancia en Pitahaya, Hylocereus spp."
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Potenciando la rentabilidad del cultivo de aguacate (Peresea Americana Mill) mediante la detección inteligente de enfermedades y un manejo integral
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Evaluación del Impacto de las mutaciones presentes en las variantes severas de los Virus del Tomate y Habichuela - base para la búsqueda de genes de susceptibilidad en variedades comerciales
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Taxonomía y biogeografía de ácaros marinos de República Dominicana
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Aprovechamiento del sargazo en forma masiva como ingrediente en alimentación de vacas lecheras en la Región Este de la República Dominicana
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Pruebas regionales para la otorgación del registro varietal del Guandul UASD
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,Establecimiento y evaluación de un banco de germoplasma de guanábana (Annona muricata L) para conservar estos recursos genéticos y su manejo
CIENCIAS AGRONÓMICAS Y VETERINARIAS ,Instituto Nacional de Investigaciones Agropecuarias -INIA,"Innovación genética en auyama (Cucurbita moschata (Duchesne ex Lam): Desarrollo de variedades más productivas, nutritivas y adaptables al cambio climático"
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,"Tuberculosis bovina: Evaluación de técnicas diagnósticas, caracterización molecular de aislamientos y detección de resistencia antimicrobiana en República Dominicana"
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Caracterización Integral de la calidad de la leche nacional como base para fortalecer el marco regulatorio y mejora del sector- lechero dominicano
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,Caracterización del virus de la Hepatitis por cuerpos de inclusión y determinación de estrategias para su prevención en la República Dominicana
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,Risk assessment of swine swill feeding in the Eastern region of the Dominican Republic
FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Instituto de Investigación e Innovación Educativa,Concepción pedagógica de la formación de doctores en las IES en la República Dominicana. Metodología para su implementación
FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Instituto de Investigación e Innovación Educativa,Desempeño académico en estudiantes de educación superior con Trastorno por Déficit de Atención e hiperactividad (TDAH) Universidad Autónoma de Santo Domingo
FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Instituto de Investigación e Innovación Educativa,"Rendimiento Académico Universitario de Egresados de Centros de Excelencia en la República Dominicana: Análisis de tendencia longitudinal, período 2025-2027"
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,"Tuberculosis bovina: Evaluación de técnicas diagnósticas, caracterización molecular de aislamientos y detección de resistencia antimicrobiana en República Dominicana"
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Caracterización Integral de la calidad de la leche nacional como base para fortalecer el marco regulatorio y mejora del sector- lechero dominicano
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,Caracterización del virus de la Hepatitis por cuerpos de inclusión y determinación de estrategias para su prevención en la República Dominicana
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,Risk assessment of swine swill feeding in the Eastern region of the Dominican Republic
FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Instituto de Investigación e Innovación Educativa,Concepción pedagógica de la formación de doctores en las IES en la República Dominicana. Metodología para su implementación
FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Instituto de Investigación e Innovación Educativa,Desempeño académico en estudiantes de educación superior con Trastorno por Déficit de Atención e hiperactividad (TDAH) Universidad Autónoma de Santo Domingo
FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Instituto de Investigación e Innovación Educativa,"Rendimiento Académico Universitario de Egresados de Centros de Excelencia en la República Dominicana: Análisis de tendencia longitudinal, período 2025-2027"
